"Convention","StartDate","EndDate","Attendees","Venues"
"Modular Building Institute - MBI 2019 World of Modular","3/15/2019","3/18/2019","400","The Cosmopolitan of Las Vegas"
"ASD Market Week Winter 2019","3/17/2019","3/20/2019","46000","Las Vegas Convention Center"
"Falmouth Institute, Inc. - Indian Country Indirect Cost Summit 2019","3/21/2019","3/22/2019","100","New York-New York Hotel & Casino"
"Falmouth Institute, Inc. - Indian Taxation 2019","3/21/2019","3/22/2019","100","New York-New York Hotel & Casino"
"Falmouth Institute, Inc. - Medical Billing and Medical Records Management for Tribal Health and Social Service Organizations 2019","3/21/2019","3/22/2019","100","New York-New York Hotel & Casino"
"Falmouth Institute, Inc. - Supervision and Management Skills: Leadership in the Tribal Workplace 2019","3/21/2019","3/22/2019","100","New York-New York Hotel & Casino"
"Empire Medical Training - March  2019 Training Seminar","3/22/2019","3/26/2019","100","The Platinum Hotel"
"National Education Association - 2019 ESP conference","3/22/2019","3/24/2019","820","Bally's Las Vegas"
"Adobe Systems Inc. - Summit 2019","3/26/2019","3/28/2019","10000","The Venetian Resort Hotel Casino"
"Digital Signage Expo 2019","3/26/2019","3/29/2019","6000","Las Vegas Convention Center"
"Nightclub and Bar Show 2019","3/26/2019","3/27/2019","39000","Las Vegas Convention Center"
"Travel Goods Show 2019","3/26/2019","3/28/2019","3500","Las Vegas Convention Center"
"Amusement Expo - 2019","3/27/2019","3/28/2019","3000","Las Vegas Convention Center"
"National Ataxia Foundation - Annual Meeting 2019","3/29/2019","3/30/2019","200","Flamingo Las Vegas"
"National Association of Theatre Owners (NATO ) - CinemaCon 2019","4/1/2019","4/4/2019","5000","Caesars Palace"
"Empire Medical Training - April  2019 Training Seminar","4/4/2019","4/8/2019","100","The Platinum Hotel"
"American Retirement Association - American Society Of Pension Actuaries 2019","4/7/2019","4/9/2019","2210","Caesars Palace"
"National Association of Broadcasters 2019","4/8/2019","4/11/2019","103000","Las Vegas Convention Center"
"International Security Conference - ISC West 2019","4/9/2019","4/12/2019","29000","Sands Expo & Convention Center"
"NDA Annual Team Dart 2019","4/11/2019","4/17/2019","4500","Westgate Las Vegas Resort & Casino"
"Credit Admiral Software, LLC - CreditCon 2019","4/15/2019","4/17/2019","600","The Mirage Hotel & Casino"
"Epicor Insights 2019","4/15/2019","4/18/2019","4000","Mandalay Bay Convention Center, Resort and Casino"
"5D Events - International Symposium of Quantum Consciousness & Healing","4/19/2019","4/21/2019","300","Alexis Park All Suites Resort"
"Water Quality Association - 2019 Convention","4/22/2019","4/26/2019","3000","Las Vegas Convention Center"
"International Sign Expo 2019","4/23/2019","4/26/2019","19500","Mandalay Bay Convention Center, Resort and Casino"
"ITEX 2019","4/24/2019","4/25/2019","1400","MGM Grand Hotel and Casino"
"National Automatic Merchandising Association (NAMA) - 2019 NAMA OneShow","4/24/2019","4/26/2019","5000","Las Vegas Convention Center"
"LVL UP Technology & Gaming Expo","4/26/2019","4/28/2019","13000","Las Vegas Convention Center"
"Electronic Transactions Association - Annual Conference - 2019","4/30/2019","5/2/2019","1505","Mandalay Bay Convention Center, Resort and Casino"
"Destination Continuing Professional Development (CPD)","5/3/2019","5/5/2019","150","Planet Hollywood Resort & Casino"
"24-7 Intouch (unconvention) Conference","5/5/2019","5/11/2019","150","Palms Casino Resort"
"Aerospace Medical Association(AsMA) - Annual Convention 2019","5/5/2019","5/9/2019","1500","Rio All-Suite Hotel & Casino"
"ServiceNow Inc. - Knowledge 19","5/5/2019","5/9/2019","22000","The Venetian Resort Hotel Casino"
"Smart Meetings - West National / Smart Woman Summit 2019","5/5/2019","5/8/2019","200","Planet Hollywood Resort & Casino"
"National Hardware Show 2019","5/7/2019","5/9/2019","37000","Las Vegas Convention Center"
"Waste Expo 2019","5/7/2019","5/9/2019","14000","Las Vegas Convention Center"
"Tortilla Industry Association (TIA) - TIA Annual Convention 2019","5/10/2019","5/11/2019","273","Mandalay Bay Convention Center, Resort and Casino"
"The MoneyShow Las Vegas 2019","5/13/2019","5/15/2019","3500","Bally's Las Vegas"
"Hospitality Design Expo & Conference 2019","5/15/2019","5/17/2019","18500","Mandalay Bay Convention Center, Resort and Casino"
"Arbonne International Global Training Conference 2019","5/16/2019","5/19/2019","25000","MGM Grand Hotel and Casino"
"Air Transport Association (ATA) - 2019 ATA e-business Forum","5/20/2019","5/22/2019","300","Hilton Lake Las Vegas Resort & Spa"
"RECon 2019","5/20/2019","5/22/2019","37000","Las Vegas Convention Center"
"Adaptive Live 2019","5/21/2019","5/23/2019","1600","The Venetian Resort Hotel Casino"
"Indoor Ag-Con 2019","5/22/2019","5/24/2019","600","Red Rock Casino Resort Spa"
"Gem & Lapidary Dealers Association (GLDA) - The 2019 Las Vegas Gem & Jewelry Show","5/27/2019","5/30/2019","1000","The Mirage Hotel & Casino"
"Couture 2019","5/30/2019","6/3/2019","5000","Wynn Las Vegas"
"Las Vegas Antique Jewelry & Watch Show - Annual Show 2019","5/30/2019","6/3/2019","7500","Las Vegas Convention Center"
"Health, Healing & Happiness, LLC - Holistic World EXPO for Body, Mind & Spirit 2019","5/31/2019","6/2/2019","3000","Enclave"
"JCK Annual Trade Show 2019","5/31/2019","6/3/2019","35000","Sands Expo & Convention Center, The Venetian Resort Hotel Casino"
"Design Automation Conference 2019","6/3/2019","6/5/2019","8000","Las Vegas Convention Center"
"International Association of Fire Chiefs (IAFC) - Fire-Rescue Med 2019","6/3/2019","6/7/2019","400","M Resort Spa & Casino"
"Licensing International Expo 2019","6/4/2019","6/6/2019","16000","Mandalay Bay Convention Center, Resort and Casino"
"American Institute of Architects - 2019","6/6/2019","6/8/2019","21000","Las Vegas Convention Center"
"Case Management Society of America (CMSA) Annual Conference and Expo - 2019","6/10/2019","6/15/2019","5000","The Mirage Hotel & Casino"
"World Tea Expo 2019","6/11/2019","6/13/2019","7500","Las Vegas Convention Center"
"Amazing Comic Conventions - Amazing Las Vegas Comic Con 2019","6/14/2019","6/16/2019","15000","Las Vegas Convention Center"
"International Esthetics Cosmetics & Spa Conference (IECSC) International Beauty Show Las Vegas (IBS) 2019","6/15/2019","6/17/2019","25000","Las Vegas Convention Center"
"Hewlett Packard Enterprise - Discover 2019","6/18/2019","6/20/2019","12000","The Venetian Resort Hotel Casino"
"Society for Human Resource Management (SHRM) Annual Conference & Exposition 2019","6/23/2019","6/25/2019","18000","Las Vegas Convention Center"
"National Athletic Trainers Association 2019","6/24/2019","6/27/2019","11000","Mandalay Bay Convention Center, Resort and Casino"
"Bowling Proprietors Association of America (BPAA) 2019 International Bowl Expo","6/26/2019","6/27/2019","3000","Las Vegas Convention Center"
"United States Jiu Jitsu Federation, Inc. - American National 2019","6/27/2019","6/29/2019","500","Las Vegas Convention Center"
"Electrical Apparatus Service Association 2019 Convention","6/30/2019","7/2/2019","3200","Mandalay Bay Convention Center, Resort and Casino"
"American Institute of Floral Designers - AIFD National Symposium","7/2/2019","7/12/2019","450","Paris Las Vegas"
"National Association for Court Management - 2019 Annual Conference","7/11/2019","7/19/2019","650","Bellagio"
"National Association of Counties - 2019 NACo Annual Conference and Exposition","7/11/2019","7/15/2019","3200","Paris Las Vegas"
"Microsoft Ready & Inspire 2019","7/14/2019","7/18/2019","40000","The Venetian Resort Hotel Casino"
"Association of Woodworking & Furnishing Suppliers Fair 2019","7/17/2019","7/20/2019","18500","Las Vegas Convention Center"
"FreedomFest 2019","7/17/2019","7/20/2019","2000","Paris Las Vegas"
"ROLLERCON 2019","7/17/2019","7/21/2019","4000","Westgate Las Vegas Resort & Casino"
"ASD Market Week Summer 2019","7/28/2019","7/31/2019","44000","Las Vegas Convention Center"
"Cosmoprof North America 2019","7/28/2019","7/30/2019","35000","Mandalay Bay Convention Center, Resort and Casino"
"Las Vegas Market - Summer 2019","7/28/2019","8/1/2019","50000","World Market Center"
"Empire Medical Training - August 2019 Training Seminar","8/2/2019","8/4/2019","100","The Platinum Hotel"
"Black Hat / TechWeb - USA 2019 Conference","8/3/2019","8/8/2019","10000","Mandalay Bay Convention Center, Resort and Casino"
"Jayco Dealer Homecoming 2019","8/3/2019","8/6/2019","600","Sands Expo & Convention Center"
"American Poolplayers Association, Inc. - The World's Largest Pool Tournament 2019","8/8/2019","8/17/2019","15000","Westgate Las Vegas Resort & Casino"
"DEF CON 27","8/8/2019","8/11/2019","22000","Bally's Las Vegas, Paris Las Vegas"
"Off-Price Specialist Show - Fall 2019","8/11/2019","8/14/2019","11500","Sands Expo & Convention Center"
"PGA Fashion & Demo Experience 2019","8/12/2019","8/14/2019","4000","The Venetian Resort Hotel Casino"
"International Baccalaureate Organization - NA Regional Workshop 2019","8/17/2019","8/19/2019","325","Green Valley Ranch Resort & Spa"
"SuperZoo West 2019","8/19/2019","8/22/2019","20000","Mandalay Bay Convention Center, Resort and Casino"
"United States Jiu Jitsu Federation, Inc. - Evexia Fit Fest 2019","8/21/2019","8/24/2019","7100","Las Vegas Convention Center"
"Pain Week 2019 (PW '19)","8/29/2019","9/10/2019","1800","The Cosmopolitan of Las Vegas"
"Interdrone - The International Drone Conference & Exposition 2019","9/3/2019","9/6/2019","3500","Rio All-Suite Hotel & Casino"
"The Experience Convention & Trade Show 2019","9/4/2019","9/6/2019","2800","Paris Las Vegas"
"Mobile Tech Expo West 2019","9/5/2019","9/7/2019","3500","South Point Hotel Casino & Spa"
"International Flight Services Association Expo","9/7/2019","9/11/2019","850","Sands Expo & Convention Center"
"International Baking Industry Expo 2019","9/8/2019","9/11/2019","22000","Las Vegas Convention Center"
"Pro-Seminars National Advisors Conference 2019","9/8/2019","9/10/2019","250","Tuscany Suites & Casino"
"TRAVCON - The Travelers Conference 2019","9/8/2019","9/10/2019","1200","Bally's Las Vegas"
"IMEX America 2019","9/10/2019","9/12/2019","13000","Sands Expo & Convention Center"
"International Spa Association - ISPA Conference & Expo 2019","9/11/2019","9/13/2019","2500","The Venetian Resort Hotel Casino"
"2019 Mr. Olympia","9/13/2019","9/14/2019","45000","Orleans Hotel and Casino, Las Vegas Convention Center"
"National Electrical Contractors Association (NECA) - Convention and Trade Show 2019","9/14/2019","9/17/2019","5500","Mandalay Bay Convention Center, Resort and Casino"
"International Fastener Expo 2019","9/17/2019","9/19/2019","5500","Mandalay Bay Convention Center, Resort and Casino"
"Building Industry Consulting Service International (BICSI) 2019 Fall Conference","9/18/2019","9/29/2019","4500","Mandalay Bay Convention Center, Resort and Casino"
